SERVICE_ID|ACTIVE_ID|ACTIVE\n
1|1|Active\n
2|1|Active\n
3|1|Active\n
4|2|Inactive\n
5|2|Inactive\n
6|1|Active\n
7|1|Active\n
8|2|Inactive\n
9|2|Inactive\n
10|2|Inactive\n
11|1|Active\n
12|1|Active\n
13|1|Active\n
14|1|Active\n
15|1|Active\n
16|2|Inactive\n
17|1|Active\n
18|2|Inactive\n
19|2|Inactive\n
20|1|Active\n
21|1|Active\n
22|1|Active\n
23|1|Active\n
24|1|Active\n
25|1|Active\n
26|1|Active\n
27|2|Inactive\n
28|1|Active\n
29|2|Inactive\n
30|2|Inactive\n
31|1|Active\n
32|2|Inactive\n
33|1|Active\n
34|2|Inactive\n
35|1|Active\n
36|2|Inactive\n
37|1|Active\n
38|1|Active\n
39|2|Inactive\n
40|1|Active\n
41|2|Inactive\n
42|2|Inactive\n
43|2|Inactive\n
44|2|Inactive\n
45|1|Active\n
46|2|Inactive\n
48|1|Active\n
49|1|Active\n
50|1|Active\n
