CUSTOMER_ID|ACTIVE_ID|ACTIVE
1|1|ACTIVE
2|4|INACTIVE-PREMIUM
3|3|ACTIVE-PREMIUM
4|3|ACTIVE-PREMIUM
5|3|ACTIVE-PREMIUM
6|3|ACTIVE-PREMIUM
7|3|ACTIVE-PREMIUM
8|3|ACTIVE-PREMIUM
9|3|ACTIVE-PREMIUM
10|4|INACTIVE-PREMIUM
11|3|ACTIVE-PREMIUM
12|4|INACTIVE-PREMIUM
13|4|INACTIVE-PREMIUM
14|4|INACTIVE-PREMIUM
15|4|INACTIVE-PREMIUM
16|4|INACTIVE-PREMIUM
17|4|INACTIVE-PREMIUM
18|4|INACTIVE-PREMIUM
19|4|INACTIVE-PREMIUM
20|3|ACTIVE-PREMIUM
21|4|INACTIVE-PREMIUM
22|4|INACTIVE-PREMIUM
23|4|INACTIVE-PREMIUM
24|4|INACTIVE-PREMIUM
25|1|ACTIVE
26|2|INACTIVE
27|2|INACTIVE
28|2|INACTIVE
29|2|INACTIVE
30|2|INACTIVE
31|2|INACTIVE
32|2|INACTIVE
33|2|INACTIVE
34|2|INACTIVE
35|2|INACTIVE
36|2|INACTIVE
37|2|INACTIVE
38|2|INACTIVE
39|2|INACTIVE
40|2|INACTIVE
41|2|INACTIVE
42|2|INACTIVE
43|2|INACTIVE
44|2|INACTIVE
45|2|INACTIVE
46|2|INACTIVE
47|2|INACTIVE
48|2|INACTIVE
49|2|INACTIVE
50|2|INACTIVE
51|2|INACTIVE
52|2|INACTIVE
53|2|INACTIVE
54|2|INACTIVE
55|2|INACTIVE
56|2|INACTIVE
57|2|INACTIVE
58|2|INACTIVE
59|2|INACTIVE
60|2|INACTIVE
61|2|INACTIVE
62|2|INACTIVE
63|2|INACTIVE
64|2|INACTIVE
65|2|INACTIVE
66|2|INACTIVE
67|2|INACTIVE
68|2|INACTIVE
69|2|INACTIVE
70|2|INACTIVE
71|2|INACTIVE
72|2|INACTIVE
73|2|INACTIVE
74|2|INACTIVE
75|2|INACTIVE
76|2|INACTIVE
77|2|INACTIVE
78|2|INACTIVE
79|2|INACTIVE
80|2|INACTIVE
81|2|INACTIVE
82|2|INACTIVE
83|2|INACTIVE
84|2|INACTIVE
85|2|INACTIVE
86|2|INACTIVE
87|2|INACTIVE
88|2|INACTIVE
89|2|INACTIVE
90|2|INACTIVE
91|2|INACTIVE
92|2|INACTIVE
93|2|INACTIVE
94|2|INACTIVE
95|2|INACTIVE
96|2|INACTIVE
97|2|INACTIVE
98|2|INACTIVE
99|2|INACTIVE
100|2|INACTIVE
