V_VIN|CUSTOMER_ID
3N1CN7AP7FL826328|1
3GTU2VEC3EG428370|2
1VWAP7A38DC019544|3
1FTWW31P05ED12447|4
2G61N5S34D9234666|5
JM1CR293890323205|6
4T4BF1FK0CR295850|7
1G1AS18H097240712|8
1C3EL55R92N382041|9
5J6YH28593L059584|10\n
1GNSCJE09DR285966|11\n
5N1AA0NC2EN603445|12
1FTMF1EF8DKG22066|13
JTNBF3EK9A3098931|14
1GKFK33039R211644|15
1N6AA07A86N544349|16
1GNEC13T64R214542|17
WDBUF87J56X135129|18
4USBT33493LS81728|19
2T2GA31U84C045001|20
5XXGM4A75CG006305|21
1G11B5SL4FF178012|22
3N1AB6AP1AL632607|23
2G4WD532651270530|24
2HGFA165X6H554023|25
1C6RR6GT9ES365442|26
3MZBM1L73FM114959|27
1G1JC6SH2F4127313|28
3VW7T7AT4DM893975|29
2C4RC1CG2CR171436|30
5GZDV03L56D125276|31
1J4RR4GG7BC787547|32
2HGFB2F59CH525577|33
1N4AL3AP7FN348114|34
1GCRCPEA9CZ281529|35
3GCPKSE74DG113610|36
1B7GL22X8WS527664|37
4JGBB75E06A044143|38
1G8ZS57N87F203073|39
2C3LA63H67H781387|40
5FNYF3H28EB098129|41
KMHDH4AE2FU276480|42
1FDKE37S3VHB26425|43
5J8TB4H5XFL010719|44
4T4BE46K38R098862|45
1GCHK23U91F117999|46
19XFA1F5XBE087240|47
4JGBF7BE5BA602135|48
1D7HU18298S536471|49
1GKFK16ZX4J375043|50
3VW7T7AT5DM873833|51
KNDJE723177340233|52
SALAA25425A337143|53
1HGCR2F71DA276241|54
WAUEFGFF4F1066642|55
1N4AB41DXXC760684|56
2FMGK5BC0ABD73600|57
1GNSCBE05DR309007|58
1C3EL46X65N505015|59
3N1AB6AP9CL737656|60
4V4JDBRF8TR809309|61
5N1AR2MN5EC639066|62
JTDKB20U273296665|63
KM8JUCAG9FU908109|64
3VWJM71K48M168490|65
1G1ZG57B19F123557|66
1G4HP54K014129658|67
1GNSCCE07BR355358|68
1FAFP10P2XW141576|69
2HSCEAXR7YC012070|70
WDBJF65J3YB093912|71
KNAFU5A27C5688952|72
1D7RB1GPXAS185874|73
1N4AA51E09C843514|74
2B3HD46Z82H110282|75
4E3AK54FXSE191774|76
4S3BG6856W7636770|77
WDBWK73F09F143987|78
JNKHF14C0MT090653|79
1FTFW1EF5DFA79986|80
19XFB2F55DE061070|81
1D7HE22K26S555758|82
2FMDK4JC4DBB89814|83
1C6RR7LM8ES473782|84
3GSCL33P68S652273|85
4T1BG22K8YU652783|86
2A4RR5DG9BR730946|87
JTDKB20U977678801|88
5NPEB4AC7DH761732|89
1GBGC24R8XR717525|90
1FMJU1J57BEF16835|91
1HGCG5658WA121470|92
1FMFU20576LA76257|93
JN8AZ1MWXDW321873|94
1B3AL56R72N189204|95
WBAVA33557PG84279|96
1VWBH7A34CC000747|97
4A3AC34G71E114809|98
1FCJE39H9LHB90581|99
5NPEC4AC5BH273745|100
