SERVICE_ORDER_ID|SERVICE_ID|EMPLOYEE_ID
1|2|3
1|3|4
2|58|5
3|10|6
4|74|7
5|74|8
6|7|9
7|8|10
9|8|11
9|9|12
10|10|13
11|10|14
12|44|15
13|17|16
13|26|17
13|14|18
13|15|19
13|11|20
13|18|21
14|20|22
14|20|23
14|22|4
14|16|8
15|25|3
15|26|4
15|27|5
15|18|6
16|31|7
16|22|8
16|16|9
17|29|10
17|79|11
17|12|12
18|14|13
18|30|14
18|32|15
18|33|16
18|14|17
18|30|18
18|78|19
18|33|4
18|33|23
19|30|15
19|38|3
19|37|22
19|29|16
19|13|21
19|42|22
20|14|24
21|10|5
22|26|8
23|4|1
23|43|20
24|101|21
24|45|14
24|46|15
25|1|5
25|49|14
26|51|12
27|102|6
27|40|21
27|52|24
27|53|22
27|54|18
27|19|13
27|55|11
27|56|12
27|57|17
27|10|15
28|13|21
28|81|7
28|50|4
29|10|3
30|11|15
31|20|16
31|9|14
31|16|17
32|102|10
32|61|24
33|13|21
34|62|10
35|11|15
36|63|4
37|64|5
38|5|4
38|20|16
38|82|13
38|13|21
39|14|7
39|11|20
39|35|5
39|19|3
40|66|16
40|14|17
40|35|5
41|98|7
42|22|3
43|55|11
44|101|4
45|9|4
45|22|3
45|16|6
45|68|16
