INVOICE_ID|SERVICE_ORDER_ID|SERVICE_ID|TOTAL_COST|INVOICE_DATE|AMT_OWED|ACTIVE_ID
1|1|2|2656.23|1/2/2021|0|1
2|1|3|800|1/3/2021|0|1
3|2|58|10826.08|1/4/2021|0|1
4|3|10|1000|1/5/2021|0|1
5|4|74|12000|11/5/2021|0|1
6|5|74|4000|1/8/2021|0|1
7|6|7|6000|1/10/2021|0|1
8|7|8|10000|1/12/2021|0|1
9|8|7|14000|1/15/2021|0|1
10|9|9|2976.88|1/16/2021|0|1
11|10|10|81.19|1/18/2021|0|1
12|11|10|17975|1/22/2021|0|1
13|12|44|8500|1/24/2021|0|1
14|13|17|2619.65|1/29/2021|0|1
15|13|26|10283.75|1/30/2021|0|1
16|13|14|3135.86|2/1/2021|0|1
17|13|15|14500|2/2/2021|0|1
18|13|11|8475|2/7/2021|0|1
19|13|18|8417.5|2/8/2021|0|1
20|14|20|750|2/12/2021|0|1
21|14|20|4871.25|2/15/2021|0|1
22|14|22|270.53|2/21/2021|0|1
23|14|16|2706.25|2/22/2021|0|1
24|15|25|1250|2/26/2021|0|1
25|15|26|150|2/27/2021|0|1
26|15|27|21358.78|2/28/2021|0|1
27|15|18|7074.88|3/1/2021|0|1
28|16|31|460|3/5/2021|0|1
29|16|22|2000|3/6/2021|0|1
30|16|16|4546.5|3/7/2021|0|1
31|17|29|324.75|3/8/2021|0|1
32|17|79|1461.38|3/12/2021|0|1
33|17|12|300|3/13/2021|0|1
34|18|14|1300|3/14/2021|0|1
35|18|30|400|3/15/2021|0|1
36|18|32|1017.55|3/16/2021|0|1
37|18|33|13100|3/19/2021|0|1
38|18|14|13950|3/20/2021|0|1
39|18|30|15374.88|3/21/2021|0|1
40|18|78|150|3/22/2021|0|1
41|18|33|45|3/26/2021|0|1
42|19|30|1250|3/27/2021|0|1
43|19|38|20620.02|3/28/2021|0|1
44|19|37|3859.11|3/29/2021|0|1
45|19|29|1273.62|4/2/2021|0|1
46|19|13|18383.92|4/3/2021|0|1
47|19|42|108.25|4/5/2021|0|1
48|20|14|227.39|4/10/2021|0|1
49|21|10|7928.32|4/11/2021|0|1
50|22|26|11035|4/13/2021|0|1
51|23|4|3436.94|4/16/2021|0|1
52|23|43|900|4/17/2021|0|1
53|24|101|5845.5|4/18/2021|0|1
54|24|45|7801|4/19/2021|0|1
55|24|46|12850|4/20/2021|0|1
56|25|1|866|4/23/2021|0|1
57|25|49|18074.8|4/28/2020|0|1
58|26|51|13210|4/30/2020|0|1
59|27|102|30712|5/1/2020|0|1
60|27|40|7036.25|5/2/2020|0|1
61|27|52|500|5/5/2020|0|1
62|27|53|541.25|5/7/2020|0|1
63|27|54|1623.75|5/8/2020|0|1
64|27|19|2165|5/9/2020|0|1
65|27|55|4800|5/10/2020|0|1
66|27|56|9800|5/14/2020|0|1
67|27|57|13518.12|5/15/2020|0|1
68|27|10|1190.75|5/17/2020|0|1
69|28|13|194.85|5/23/2020|0|1
70|28|81|1396.43|5/24/2020|0|1
71|28|50|29961|6/4/2020|0|1
72|29|10|140|6/5/2020|0|1
73|30|11|11069.32|6/6/2020|0|1
74|31|20|233.98|6/7/2020|0|1
75|31|9|20361.83|6/11/2020|0|1
76|31|16|12200|6/14/2020|0|1
77|32|102|18730|6/19/2020|0|1
78|32|61|1200|6/25/2020|0|1
79|33|13|17320|6/26/2020|0|1
80|34|62|16150|6/27/2020|0|1
81|35|11|5770.75|6/28/2020|0|1
82|36|63|15000|7/2/2020|0|1
83|37|64|2381.5|7/3/2020|0|1
84|38|5|15990|7/5/2020|0|1
85|38|20|14392|7/6/2020|0|1
86|38|82|129.9|7/9/2020|0|1
87|38|13|5000|7/10/2020|0|1
88|39|14|7248.5|7/11/2020|0|1
89|39|11|20000|7/12/2020|0|1
90|39|35|10825|7/23/2020|0|1
91|39|19|669.6|7/26/2020|0|1
92|40|66|163.4|7/30/2020|0|1
93|40|14|12500|7/31/2020|0|1
94|40|35|790|8/2/2020|0|1
95|41|98|4138.25|8/8/2020|0|1
96|42|22|3838.25|8/9/2020|0|1
97|43|55|450|8/13/2020|0|1
98|44|101|19750|8/16/2020|0|1
99|45|9|1350|8/21/2020|0|1
100|45|22|2000|8/22/2020|0|1
|45|16||||
|45|68||||
