CUSTOMER_ID|ACTIVE_ID|ACTIVE\n
1|1|ACTIVE\n
2|2|INACTIVE\n
3|3|ACTIVE-PREMIUM\n
4|4|INACTIVE-PREMIUM\n
5|3|ACTIVE-PREMIUM\n
6|4|INACTIVE-PREMIUM\n
7|2|INACTIVE\n
8|3|ACTIVE-PREMIUM\n
9|1|ACTIVE\n
10|2|INACTIVE\n
11|3|ACTIVE-PREMIUM\n
12|4|INACTIVE-PREMIUM\n
13|3|ACTIVE-PREMIUM\n
14|4|INACTIVE-PREMIUM\n
15|2|INACTIVE\n
16|3|ACTIVE-PREMIUM\n
17|1|ACTIVE\n
18|1|ACTIVE\n
19|1|ACTIVE\n
20|1|ACTIVE\n
21|1|ACTIVE\n
22|1|ACTIVE\n
23|1|ACTIVE\n
24|1|ACTIVE\n
25|2|INACTIVE\n
26|3|ACTIVE-PREMIUM\n
27|1|ACTIVE\n
28|2|INACTIVE\n
29|3|ACTIVE-PREMIUM\n
30|1|ACTIVE\n
31|2|INACTIVE\n
32|2|INACTIVE\n
33|2|INACTIVE\n
34|1|ACTIVE\n
35|1|ACTIVE\n
36|2|INACTIVE\n
37|1|ACTIVE\n
38|2|INACTIVE\n
39|1|ACTIVE\n
40|2|INACTIVE\n
41|3|ACTIVE-PREMIUM\n
42|1|ACTIVE\n
43|1|ACTIVE\n
44|2|INACTIVE\n
45|3|ACTIVE-PREMIUM\n
46|2|INACTIVE\n
47|3|ACTIVE-PREMIUM\n
48|1|ACTIVE\n
49|1|ACTIVE\n
50|2|INACTIVE\n
