C_ID|IS_BUSINESS\n
1|1\n
2|1\n
3|1\n
4|1\n
5|1\n
6|1\n
7|1\n
8|1\n
9|0\n
10|0\n
11|0\n
12|1\n
13|1\n
14|1\n
15|0\n
16|0\n
17|1\n
18|1\n
19|1\n
20|0\n
21|0\n
22|0\n
23|1\n
24|1\n
25|1\n
26|1\n
27|0\n
28|0\n
29|1\n
30|0\n
31|0\n
32|1\n
33|1\n
34|0\n
35|1\n
36|0\n
37|1\n
38|1\n
39|0\n
40|1\n
41|1\n
42|0\n
43|1\n
44|1\n
45|1\n
46|1\n
47|1\n
48|0\n
49|1\n
50|0\n
51|1\n
52|1\n
53|1\n
54|1\n
55|1\n
56|1\n
57|0\n
58|0\n
59|1\n
60|0\n
61|1\n
62|0\n
63|1\n
64|1\n
65|0\n
66|0\n
67|1\n
68|0\n
69|1\n
70|1\n
71|0\n
72|0\n
73|1\n
74|1\n
75|1\n
76|1\n
77|1\n
78|1\n
79|1\n
80|0\n
81|1\n
82|1\n
83|1\n
84|1\n
85|1\n
86|1\n
87|0\n
88|1\n
89|1\n
90|1\n
91|0\n
92|0\n
93|0\n
94|0\n
95|0\n
96|0\n
97|0\n
98|0\n
99|1\n
100|1\n
