SERVICE_ORDER_ID|DATE|TOTAL_COST
1|1/2/2018|1800
2|1/3/2018|731.13
3|1/4/2018|64.78
4|11/5/2018|800
5|11/5/2018|10001
6|11/5/2018|1000
7|11/5/2018|12000
8|11/5/2018|1000
9|11/5/2018|4000
10|11/5/2018|6000
11|1/8/2018|10000
12|1/8/2018|14000
13|1/10/2018|2750
14|1/12/2018|75
15|1/15/2018|2000
16|1/15/2018|11500
17|1/15/2018|1450
18|1/16/2018|1800
19|1/16/2018|750
20|1/16/2018|475
21|1/18/2018|2400
22|1/22/2018|2500
23|1/24/2018|2800
24|1/29/2018|1000
25|1/30/2018|200
26|1/30/2018|1500
27|2/1/2018|3000
28|2/1/2018|384.01
29|2/1/2018|200
30|2/1/2018|2650
31|2/2/2018|2434.01
32|2/7/2018|5500
33|2/7/2018|2000
34|2/8/2018|5400
35|2/12/2018|600
36|2/15/2018|9500
37|2/21/2018|1500
38|2/21/2018|500
39|2/28/2018|385.9
40|2/22/2018|449.07
41|2/22/2018|100
42|2/26/2018|10500
43|2/27/2018|850
44|2/28/2018|1800
45|3/1/2018|1350
46|3/5/2018|10500
47|3/6/2018|850
48|3/7/2018|1800
49|3/8/2018|1350
50|3/12/2018|1350
51|3/13/2018|475
52|3/14/2018|3000
53|3/15/2018|1000
54|3/16/2018|2000
55|3/19/2018|650
56|3/20/2018|12500
57|3/20/2018|5500
58|3/21/2018|7000
59|3/22/2018|840
60|3/22/2018|750
61|3/26/2018|4500
62|3/27/2018|125
63|3/27/2018|35
64|3/29/2018|110.53
65|3/29/2018|1400
66|4/2/2018|1000
67|4/2/2018|100
68|4/2/2018|400
69|4/3/2018|850
70|4/3/2018|150
71|4/3/2018|4000
72|4/5/2018|800
73|4/5/2018|11500
74|11/5/2018|800
75|11/5/2018|750
76|11/5/2018|700
77|11/5/2018|300
78|4/10/2018|470
79|4/11/2018|150
80|4/13/2018|1800
81|4/13/2018|500
82|4/16/2018|500
83|4/16/2018|5000
84|4/16/2018|1500
85|4/16/2018|150
86|4/17/2018|460
87|4/17/2018|2000
88|4/18/2018|2200
89|4/19/2018|1000
90|4/19/2018|1000
91|4/19/2018|200
92|4/19/2018|100
93|4/19/2018|1350
94|4/19/2018|300
95|4/20/2018|1300
96|4/23/2018|400
97|4/23/2018|790
98|4/28/2018|150
99|4/30/2018|8000
100|5/1/2018|3700
