SERVICE_LINE_ID|ACTIVE_ID|ACTIVE
1|1|Active
2|2|Inactive
3|1|Active
4|1|Active
5|2|Inactive
6|1|Active
7|2|Inactive
8|1|Active
9|1|Active
10|1|Active
11|2|Inactive
12|2|Inactive
13|1|Active
14|1|Active
15|1|Active
16|2|Inactive
17|2|Inactive
18|1|Active
19|2|Inactive
20|1|Active
21|1|Active
22|2|Inactive
23|1|Active
24|2|Inactive
25|1|Active
26|1|Active
27|1|Active
28|2|Inactive
29|1|Active
30|1|Active
31|1|Active
32|2|Inactive
33|2|Inactive
34|2|Inactive
35|2|Inactive
36|1|Active
37|2|Inactive
38|2|Inactive
39|1|Active
40|2|Inactive
41|1|Active
42|2|Inactive
43|2|Inactive
44|1|Active
45|2|Inactive
46|1|Active
47|1|Active
48|2|Inactive
49|2|Inactive
50|1|Active
