PART_ID|PART_NAME
1|Battery
2|Brake Pad
3|Axle
4|Fuel Injector
5|Piston
6|A/C Compressor
7|Radiator
8|Engine Fan
9|Clutch
10|Jack
11|Tire
12|Transmission
13|Shock Absorbers
14|Air Filter
15|Spark Plug
16|Catalytic Converter
17|Muffler
18|Tire Pressure Gauge
19|Alternator
20|Tailgate Cylinder
21|Paint
22|Box Door
23|Wheels
24|Indicator
25|Tarp
26|Frame
27|Box
28|Front Bumper
29|Hitch
30|Steel
31|Mount
32|Trailer
33|Tool Box
34|Bed
35|Power Take-Off Transmission
36|Bolts
37|Hood
38|Aluminum
39|Stainless Steel
40|Low Carbon Mild Steel
41|Fuel
42|Pusher
43|Tailgate
44|Fender
45|Pressure Blast Tank
46|Electric Switch
47|Fuel Pump
48|Rack
49|Cabin Door
50|Antenna
51|Fuel Tank
52|Driver seat
53|Bushings
54|Glass
