CUSTOMER_ID|V_ID|INSURANCE_ID|POLICY_ID|EXPIRATION_DATE
1|1|13|3|9/6/2021
2|2|3|4|8/9/2021
3|3|8|5|6/29/2021
4|4|23|6|10/29/2021
5|5|28|7|7/23/2021
6|6|5|8|12/29/2021
7|7|5|9|12/5/2021
8|8|8|10|9/25/2021
9|9|21|11|7/2/2021
10|10|23|12|10/23/2021
11|11|5|13|9/24/2021
12|12|5|14|5/25/2021
13|13|13|15|9/14/2021
14|14|8|16|9/9/2021
15|15|28|17|8/30/2021
16|16|16|18|5/18/2021
17|17|22|19|9/30/2021
18|18|32|20|8/1/2021
19|19|34|21|7/20/2021
20|20|10|22|12/9/2021
21|21|25|23|9/29/2021
22|22|17|4|7/1/2021
23|23|23|8|9/19/2021
24|24|35|3|10/5/2021
25|25|1|4|11/16/2021
26|26|6|5|9/14/2021
27|27|8|6|11/27/2021
28|28|26|7|5/19/2021
29|29|28|8|8/25/2021
30|30|13|9|8/13/2021
31|31|17|10|5/15/2021
32|32|12|11|11/27/2021
33|33|2|12|5/26/2021
34|34|14|13|12/16/2021
35|35|20|14|6/12/2021
36|36|22|15|12/1/2021
37|37|15|16|9/24/2021
38|38|29|17|11/19/2021
39|39|17|18|10/24/2021
40|40|8|19|6/12/2021
41|41|31|4|5/10/2021
41|42|31|23|7/31/2021
42|43|20|15|8/28/2021
43|44|7|3|9/10/2021
44|45|25|22|8/3/2021
45|46|13|16|8/8/2021
46|47|6|21|12/5/2021
46|48|6|22|5/24/2021
48|49|29|24|11/9/2021
49|50|13|5|11/14/2021
50|51|9|8|10/4/2021
51|52|29|1|7/30/2021
52|53|28|20|8/2/2021
53|54|4|21|6/16/2021
54|55|29|14|10/4/2021
55|56|25|15|11/15/2021
56|57|11|5|9/1/2021
57|58|11|14|2/16/2021
58|59|5|12|1/14/2021
59|60|6|6|11/24/2020
60|61|22|21|12/6/2020
61|62|21|24|11/9/2020
62|63|30|22|10/9/2020
63|64|2|18|1/20/2021
64|65|33|13|1/7/2021
65|66|35|11|3/16/2021
66|67|7|12|10/21/2020
67|68|29|17|4/12/2021
68|69|16|15|10/18/2020
69|70|33|21|4/26/2021
70|71|5|7|4/30/2021
71|72|7|4|4/18/2021
72|73|32|3|9/9/2020
73|74|31|15|11/4/2020
74|75|10|16|10/21/2020
75|76|3|14|9/28/2020
76|77|32|17|3/17/2021
77|78|8|10|9/29/2020
78|79|14|24|2/3/2021
79|80|30|21|12/16/2020
80|81|9|10|10/10/2020
81|82|35|15|10/2/2020
82|83|26|4|10/13/2020
83|84|9|5|11/12/2020
84|85|34|4|2/20/2021
85|86|3|16|9/5/2020
86|87|18|13|1/14/2021
87|88|19|21|9/23/2020
88|89|5|7|11/24/2020
89|90|7|20|9/13/2020
90|91|26|5|3/20/2021
91|92|17|3|11/25/2020
92|93|28|16|2/10/2021
93|94|9|17|11/14/2020
94|95|1|5|12/16/2020
95|96|30|7|12/31/2020
96|97|7|3|10/29/2020
97|98|24|11|4/1/2021
98|99|32|4|1/26/2021
99|100|22|4|3/26/2021
100|101|30|3|10/12/2020
