SERVICE_ORDER_ID|SERVICE_ID|PART_ID
1|2|5
1|3|38
2|58|39
3|10|17
4|74|3
5|74|30
6|7|42
7|8|43
8|7|41
9|9|44
10|10|25
11|10|27
12|44|20
13|17|21
13|26|21
13|14|27
13|15|37
13|11|45
13|18|28
14|20|26
14|20|16
14|22|3
14|16|37
15|25|10
15|26|21
15|27|21
15|18|46
16|31|10
16|22|3
16|16|37
17|29|47
17|79|37
17|12|6
18|14|27
18|30|35
18|32|29
18|33|25
18|14|21
18|30|34
18|78|48
18|33|26
19|30|35
19|38|49
19|37|22
19|29|47
19|13|21
19|42|50
20|14|27
21|10|5
22|26|21
23|4|1
23|43|40
24|101|51
24|45|34
24|46|25
25|1|5
25|49|34
26|51|52
27|102|6
27|40|31
27|52|34
27|53|22
27|54|48
27|19|53
27|55|41
27|56|42
27|57|17
27|10|15
28|13|21
28|81|47
28|50|4
29|10|2
30|11|45
31|20|26
31|9|44
31|16|37
32|102|30
32|61|54
33|13|21
34|62|40
35|11|45
36|63|34
37|64|55
38|5|34
38|20|26
38|82|33
38|13|21
39|14|27
39|11|20
39|35|25
39|19|53
40|66|56
40|14|27
40|35|25
41|98|27
42|22|3
43|55|41
44|101|4
45|9|44
45|22|3
45|16|36
45|68|36
