SUPPLIER_ID|ACTIVE_ID|ACTIVE
1|1|ACTIVE
2|2|INACTIVE
3|1|ACTIVE
4|1|ACTIVE
5|2|INACTIVE
6|1|ACTIVE
7|1|ACTIVE
8|2|INACTIVE
9|1|ACTIVE
10|1|ACTIVE
11|1|ACTIVE
12|2|INACTIVE
13|1|ACTIVE
14|1|ACTIVE
15|2|INACTIVE
16|1|ACTIVE
17|1|ACTIVE
18|1|ACTIVE
19|1|ACTIVE
20|2|INACTIVE
21|1|ACTIVE
22|2|INACTIVE
23|2|INACTIVE
24|2|INACTIVE
25|1|ACTIVE
26|1|ACTIVE
27|1|ACTIVE
28|2|INACTIVE
29|1|ACTIVE
30|2|INACTIVE
31|2|INACTIVE
32|1|ACTIVE
33|1|ACTIVE
34|2|INACTIVE
35|2|INACTIVE
36|1|ACTIVE
37|2|INACTIVE
38|2|INACTIVE
39|1|ACTIVE
40|1|ACTIVE
41|2|INACTIVE
42|1|ACTIVE
43|2|INACTIVE
44|2|INACTIVE
45|1|ACTIVE
46|1|ACTIVE
47|2|INACTIVE
48|1|ACTIVE
49|1|ACTIVE
50|1|ACTIVE
