SERVICE_ID|ACTIVE_ID|ACTIVE
1|1|Active
2|1|Active
3|1|Active
4|2|Inactive
5|2|Inactive
6|1|Active
7|1|Active
8|2|Inactive
9|2|Inactive
10|2|Inactive
11|1|Active
12|1|Active
13|1|Active
14|1|Active
15|1|Active
16|2|Inactive
17|1|Active
18|2|Inactive
19|2|Inactive
20|1|Active
21|1|Active
22|1|Active
23|1|Active
24|1|Active
25|1|Active
26|1|Active
27|2|Inactive
28|1|Active
29|2|Inactive
30|2|Inactive
31|1|Active
32|2|Inactive
33|1|Active
34|2|Inactive
35|1|Active
36|2|Inactive
37|1|Active
38|1|Active
39|2|Inactive
40|1|Active
41|2|Inactive
42|2|Inactive
43|2|Inactive
44|2|Inactive
45|1|Active
46|2|Inactive
48|1|Active
49|1|Active
50|1|Active
