PART_ID|SUPPLIER_ID|PART_COST|AMOUNT
1|4|80.50|23
2|2|80.00|52
3|3|53.25|15
4|1|90.00|135
5|6|78.55|32
6|7|53.00|61
7|9|96.05|13
8|15|95.00|42
9|14|69.10|32
10|20|32.20|52
11|8|90.00|21
12|13|80.00|32
13|16|68.45|23
14|12|12.05|52
15|5|15.00|2
16|10|43.00|12
17|17|19.00|52
18|19|16.00|53
19|18|55.25|34
20|11|49.00|65
21|10|60.15|45
22|3|130.00|34
23|14|85.00|74
24|11|28.00|34
25|5|24.015|15
26|16|200.00|13
27|12|69.00|63
28|4|79.99|13
29|8|56.00|63
30|6|35.00|22
31|13|44.00|11
32|4|18.25|34
33|2|46.55|11
34|9|190.15|24
35|19|25.05|34
36|1|1.65|4
37|4|59.99|14
38|14|30.00|15
39|15|93.99|63
40|10|65.50|23
41|17|12.20|63
42|19|21.50|2
43|6|29.99|26
44|7|33.50|43
45|20|52.99|21
46|7|18.59|35
47|7|60.25|53
48|1|32.00|24
49|1|168.99|14
50|12|3.99|25
51|4|53.00|21
52|7|179.99|53
53|14|2.99|62
54|6|26.50|16
