V_VIN|V_SERVICE|V_CONDITION\n
3N1CN7AP7FL826328|REMOVE AND REPLACE CAMEL BACK SUSPENSION|Excellent\n
3GTU2VEC3EG428370|MADE REPAIRS TO TRUCK-CUSTOMER PROVIDED HOOD WE JUST INSTALLED AND CONNECTED LINES AND LIGHTS.|Good\n
1VWAP7A38DC019544|BUILD AND INSTALL 20 FOOT FLAT BED..|Excellent\n
1FTWW31P05ED12447|CUSTOMER HAD TRAILER TOWED INTO THE YARD, WE PAID FOR TOW BILL, REMOVED CYLINDER, REPLACED WITH NEW, REPLACED TRAILER HARDWARE, LEGS, SCISSORS, TARP SYSTEM, REPAIRED REAR DOOR THAT WAS COMPLETELY UN ALIGNED, REPAIRED HARDWARE FOR THE DOOR, REPAIRED WIRING ON THE TRAILER AND REPLACED LIGHTS, SANDBLASTED AND PAINTED TRAILER|Fair\n
2G61N5S34D9234666|LABOR TO MAKE WELDING REPAIRS|Excellent\n
JM1CR293890323205|PICKING UP AND DELIVERING TRUCKS TO THE PORT|Fair\n
4T4BF1FK0CR295850|WELD CUSTOMER KIT|Good\n
1G1AS18H097240712|INSTALL PUSHERS ON TRUCK|Fair\n
1C3EL55R92N382041|MADE REPAIRS TO TRUCK|Excellent\n
5J6YH28593L059584|TAIL GATE CYLINDER|Good\n
1GNSCJE09DR285966|ALUMINUM TARP ARM KIT INSTALLED|Excellent\n
5N1AA0NC2EN603445|Heavy duty Hi-Lift tail gate with dual action hinges.|Excellent\n
1FTMF1EF8DKG22066|STEAM CLEAN FROM FRONT BUMPER TO END OF FRAME|Excellent\n
JTNBF3EK9A3098931|Stretch frame to 315" WB center front to center of drive|Good\n
1GKFK33039R211644|Double frame from the front rear hanger to the end of frame|Excellent\n
1N6AA07A86N544349|Pintle Hitch includes air lines and light switch|Fair\n
1GNEC13T64R214542|INSTALL TRAILER PACKAGE ON TRUCK|Excellent\n
WDBUF87J56X135129|NEW PTO  INSTALLED|Good\n
4USBT33493LS81728|NEW AUTOMATIC PUMP INSTALLED|Fair\n
