V_VIN|POLICY_ID
3N1CN7AP7FL826328|1
3GTU2VEC3EG428370|2
1VWAP7A38DC019544|3
1FTWW31P05ED12447|4
2G61N5S34D9234666|5
JM1CR293890323205|6
4T4BF1FK0CR295850|7
1G1AS18H097240712|8
1C3EL55R92N382041|9
5J6YH28593L059584|10
1GNSCJE09DR285966|1
5N1AA0NC2EN603445|2
1FTMF1EF8DKG22066|3
JTNBF3EK9A3098931|4
1GKFK33039R211644|5
1N6AA07A86N544349|6
1GNEC13T64R214542|7
WDBUF87J56X135129|8
4USBT33493LS81728|9
2T2GA31U84C045001|10
5XXGM4A75CG006305|1
1G11B5SL4FF178012|2
3N1AB6AP1AL632607|3
2G4WD532651270530|4
2HGFA165X6H554023|5
1C6RR6GT9ES365442|6
3MZBM1L73FM114959|7
1G1JC6SH2F4127313|8
3VW7T7AT4DM893975|9
2C4RC1CG2CR171436|10
5GZDV03L56D125276|1
1J4RR4GG7BC787547|2
2HGFB2F59CH525577|3
1N4AL3AP7FN348114|4
1GCRCPEA9CZ281529|5
3GCPKSE74DG113610|6
1B7GL22X8WS527664|7
4JGBB75E06A044143|8
1G8ZS57N87F203073|9
2C3LA63H67H781387|10
5FNYF3H28EB098129|1
KMHDH4AE2FU276480|2
1FDKE37S3VHB26425|3
5J8TB4H5XFL010719|4
4T4BE46K38R098862|5
1GCHK23U91F117999|6
19XFA1F5XBE087240|7
4JGBF7BE5BA602135|8
1D7HU18298S536471|9
1GKFK16ZX4J375043|10
3VW7T7AT5DM873833|1
KNDJE723177340233|2
SALAA25425A337143|3
1HGCR2F71DA276241|4
WAUEFGFF4F1066642|5
1N4AB41DXXC760684|6
2FMGK5BC0ABD73600|7
1GNSCBE05DR309007|8
1C3EL46X65N505015|9
3N1AB6AP9CL737656|10
4V4JDBRF8TR809309|1
5N1AR2MN5EC639066|2
JTDKB20U273296665|3
KM8JUCAG9FU908109|4
3VWJM71K48M168490|5
1G1ZG57B19F123557|6
1G4HP54K014129658|7
1GNSCCE07BR355358|8
1FAFP10P2XW141576|9
2HSCEAXR7YC012070|10
WDBJF65J3YB093912|1
KNAFU5A27C5688952|2
1D7RB1GPXAS185874|3
1N4AA51E09C843514|4
2B3HD46Z82H110282|5
4E3AK54FXSE191774|6
4S3BG6856W7636770|7
WDBWK73F09F143987|8
JNKHF14C0MT090653|9
1FTFW1EF5DFA79986|10
19XFB2F55DE061070|1
1D7HE22K26S555758|2
2FMDK4JC4DBB89814|3
1C6RR7LM8ES473782|4
3GSCL33P68S652273|5
4T1BG22K8YU652783|6
2A4RR5DG9BR730946|7
JTDKB20U977678801|8
5NPEB4AC7DH761732|9
1GBGC24R8XR717525|10
1FMJU1J57BEF16835|1
1HGCG5658WA121470|2
1FMFU20576LA76257|3
JN8AZ1MWXDW321873|4
1B3AL56R72N189204|5
WBAVA33557PG84279|6
1VWBH7A34CC000747|7
4A3AC34G71E114809|8
1FCJE39H9LHB90581|9
5NPEC4AC5BH273745|10
