SERVICE_ID|V_ID
2|71
3|15
58|13
10|50
74|57
74|56
7|51
8|74
7|28
9|31
10|48
10|23
44|11
17|53
26|76
14|88
15|67
11|91
18|20
14|8
15|39
16|63
17|73
18|96
19|94
20|64
21|12
22|17
23|79
24|78
25|2
26|92
27|55
28|25
29|6
30|18
31|46
32|30
33|29
34|41
35|40
36|59
37|85
38|93
39|35
40|81
41|36
42|24
43|37
44|66
45|84
46|34
47|82
48|97
49|44
50|80
51|45
52|86
53|54
54|69
55|9
56|52
57|58
58|67
59|60
60|61
61|77
62|68
63|10
64|47
65|14
66|42
67|32
68|100
69|5
70|3
71|72
72|90
73|98
74|43
75|33
76|65
77|95
78|22
79|26
80|99
81|70
82|1
83|75
84|16
85|38
86|27
87|7
88|49
89|89
90|19
91|4
92|21
93|62
94|JN8AZ1MWXDW321873
95|1B3AL56R72N189204
96|WBAVA33557PG84279
97|1VWBH7A34CC000747
98|4A3AC34G71E114809
99|1FCJE39H9LHB90581
100|5NPEC4AC5BH273745
