ACTIVE_ID|ACTIVE
1|Active
2|Inactive
1|Active
1|Active
2|Inactive
1|Active
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
2|Inactive
1|Active
2|Inactive
1|Active
2|Inactive
1|Active
2|Inactive
2|Inactive
1|Active
1|Active
1|Active
1|Active
1|Active
1|Active
2|Inactive
1|Active
2|Inactive
1|Active
1|Active
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
1|Active
1|Active
1|Active
1|Active
1|Active
2|Inactive
2|Inactive
2|Inactive
2|Inactive
2|Inactive
2|Inactive
2|Inactive
1|Active
1|Active
2|Inactive
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
2|Inactive
1|Active
2|Inactive
1|Active
1|Active
2|Inactive
1|Active
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
2|Inactive
2|Inactive
2|Inactive
1|Active
2|Inactive
2|Inactive
1|Active
2|Inactive
1|Active
2|Inactive
2|Inactive
1|Active
2|Inactive
1|Active
1|Active
2|Inactive
2|Inactive
1|Active
1|Active
1|Active
2|Inactive
1|Active
1|Active
1|Active
1|Active
1|Active
1|Active
1|Active
2|Inactive
