REVENUE_ID|REVENUE_NAME|REVENUE_VALUE
1|Service|2595.91
2|Service|800
3|Service|10001
4|Service|1000
5|Service|12000
6|Service|1000
7|Service|4000
8|Service|6000
9|Service|10000
10|Service|2750
11|Service|75
12|Service|17975
13|Service|8500
14|Service|2434.01
15|Service|9500
16|Service|2934.97
17|Service|14500
18|Service|8475
19|Service|7840
20|Service|750
21|Service|4500
22|Service|270.53
23|Service|2500
24|Service|1250
25|Service|150
26|Service|19670
27|Service|6650
28|Service|460
29|Service|2000
30|Service|4200
31|Service|300
32|Service|1350
33|Service|1300
34|Service|400
35|Service|940
36|Service|13100
37|Service|13950
38|Service|14290
39|Service|150
40|Service|0
41|Service|45
42|Service|1250
43|Service|20620.02
44|Service|3565
45|Service|1190.12
46|Service|17056
47|Service|100
48|Service|210.06
49|Service|7750.87
50|Service|0
51|Service|5400
52|Service|7240
53|Service|800
54|Service|16754.8
55|Service|13210
56|Service|30712
57|Service|500
58|Service|300
59|Service|4800
60|Service|10000
61|Service|13518.12
62|Service|1100
63|Service|180
64|Service|1290
65|Service|140
66|Service|10592.59
67|Service|218.3
68|Service|1300
69|Service|900
70|Service|16000
71|Service|0
72|Service|2200
73|Service|0
74|Service|15990
75|Service|13600
76|Service|5000
77|Service|10000
78|Service|630
79|Service|1100
80|Service|3800
81|Service|450
82|Service|500
83|Service|15990
84|Service|19750
85|Service|7450
86|Service|2150
87|Service|200
88|Service|4500
89|Service|13920
90|Service|12700
91|Service|136.5
92|Service|5500
93|Service|160
94|Service|450
95|Service|3500
96|Service|600
97|Service|450
98|Service|550
99|Service|0
100|Service|3500
