PMT_ID|INVOICE_ID|SERVICE_ORDER_ID|PMT_AMOUNT|ACTIVE_ID
2|1|1|2656.23|1
2|2|1|800.00|1
3|3|2|10826.08|1
2|4|3|1000.00|1
3|5|4|12000.00|1
2|6|5|4000.00|1
3|7|6|6000.00|1
3|8|7|10000.00|1
3|9|8|14000.00|1
2|10|9|2976.88|1
1|11|10|81.19|1
3|12|11|17975.00|1
2|13|12|8500.00|1
2|14|13|2619.65|1
3|15|13|10283.75|1
2|16|13|3135.86|1
3|17|13|14500.00|1
3|18|13|8475.00|1
3|19|13|8417.50|1
2|20|14|750.00|1
2|21|14|4871.25|1
2|22|14|270.53|1
2|23|14|2706.25|1
2|24|15|1250.00|1
2|25|15|150.00|1
3|26|15|21358.78|1
3|27|15|7074.88|1
2|28|16|460.00|1
2|29|16|2000.00|1
2|30|16|4546.50|1
2|31|17|324.75|1
2|32|17|1461.38|1
2|33|17|300.00|1
2|34|18|1300.00|1
2|35|18|400.00|1
2|36|18|1017.55|1
3|37|18|13100.00|1
3|38|18|13950.00|1
3|39|18|15374.88|1
2|40|18|150.00|1
1|41|18|45.00|1
2|42|19|1250.00|1
3|43|19|20620.02|1
2|44|19|3859.11|1
2|45|19|1273.62|1
3|46|19|18383.92|1
2|47|19|108.25|1
2|48|20|227.39|1
3|49|21|7928.32|1
3|50|22|11035.00|1
2|51|23|3436.94|1
2|52|23|900.00|1
3|53|24|5845.50|1
2|54|24|7801.00|1
3|55|24|12850.00|1
2|56|25|866.00|1
3|57|25|18074.80|1
3|58|26|13210.00|1
3|59|27|30712.00|1
3|60|27|7036.25|1
2|61|27|500.00|1
2|62|27|541.25|1
2|63|27|1623.75|1
2|64|27|2165.00|1
2|65|27|4800.00|1
3|66|27|9800.00|1
3|67|27|13518.12|1
2|68|27|1190.75|1
2|69|28|194.85|1
2|70|28|1396.43|1
3|71|28|29961.00|1
2|72|29|140.00|1
3|73|30|11069.32|1
2|74|31|233.98|1
3|75|31|20361.83|1
3|76|31|12200.00|1
3|77|32|18730.00|1
2|78|32|1200.00|1
3|79|33|17320.00|1
3|80|34|16150.00|1
2|81|35|5770.75|1
3|82|36|15000.00|1
2|83|37|2381.50|1
3|84|38|15990.00|1
3|85|38|14392.00|1
2|86|38|129.90|1
2|87|38|5000.00|1
2|88|39|7248.50|1
3|89|39|20000.00|1
3|90|39|10825.00|1
2|91|39|669.60|1
2|92|40|163.40|1
3|93|40|12500.00|1
2|94|40|790.00|1
2|95|41|4138.25|1
2|96|42|3838.25|1
2|97|43|450.00|1
3|98|44|19750.00|1
2|99|45|1350.00|1
2|100|45|2000.00|1
