Column1|Column2|Column3|Column4
1|3|Check|2656.00\n
2|2|Card|800.00\n
3|3|Check|10001.00\n
4|2|Card|1000.00\n
5|3|Check|12000.00\n
6|2|Card|1000.00\n
7|3|Check|10000.00\n
8|3|Check|6000.00\n
9|3|Check|10000.00\n
10|2|Card|2976.88\n
11|1|Cash|81.19\n
12|3|Check|17975.00\n
13|3|Check|8500.00\n
14|2|Card|2619.65\n
15|3|Check|10283.75\n
16|3|Check|3135.86\n
17|3|Check|14500.00\n
18|3|Check|8475.00\n
19|3|Check|8417.50\n
20|2|Card|750.00\n
21|3|Check|4871.25\n
22|2|Card|270.53\n
23|2|Card|2706.25\n
24|2|Card|1250.00\n
25|1|Cash|150.00\n
26|3|Check|21358.78\n
27|3|Check|7074.88\n
28|2|Card|460.00\n
29|2|Card|2000.00\n
30|3|Check|4546.50\n
31|2|Card|324.75\n
32|2|Card|1461.38\n
33|2|Card|1300.00\n
34|2|Card|400.00\n
35|3|Check|1017.50\n
36|3|Check|13100.00\n
37|3|Check|13950.00\n
38|3|Check|15374.88\n
39|1|Cash|150.00\n
40|1|Cash|00.00\n
41|1|Cash|45.00\n
42|2|Card|1250.00\n
43|3|Check|20620.02\n
44|3|Check|3859.11\n
45|2|Card|1273.62\n
46|3|Check|18383.92\n
47|1|Cash|108.25\n
48|2|Card|227.39\n
49|3|Check|7928.32\n
50|1|Cash|00.00\n
51|1|Cash|80.00\n
52|3|Check|6800.00\n
53|2|Card|1800.00\n
54|2|Card|325.00\n
55|2|Card|750.00\n
56|2|Card|1360.00\n
57|3|Check|3175.00\n
58|2|Card|900.00\n
59|3|Check|5400.00\n
60|3|Check|8000.00\n
61|2|Card|960.00\n
62|2|Card|1850.00\n
63|2|Card|1750.00\n
64|3|Check|4496.00\n
65|3|Check|6300.00\n
66|2|Card|350.00\n
67|2|Card|500.00\n
68|2|Card|90.00\n
69|3|Check|7240.00\n
70|3|Check|10300.00\n
71|2|Card|750.00\n
72|2|Card|1800.00\n
73|3|Check|6800.00\n
74|2|Card|1800.00\n
75|2|Card|325.00\n
76|2|Card|750.00\n
77|2|Card|1360.00\n
78|2|Card|800.00\n
79|3|Check|6290.00\n
80|3|Check|4500.00\n
81|2|Card|1350.00\n
82|3|Check|2500.00\n
83|2|Card|1360.00\n
84|3|Check|10500.00\n
85|2|Card|750.00\n
86|2|Card|750.00\n
87|3|Check|12600.00\n
88|2|Card|1850.00\n
89|2|Card|750.00\n
90|3|Check|3200.00\n
91|3|Check|3000.00\n
92|3|Check|4600.00\n
93|2|Card|200.00\n
94|3|Check|2200.00\n
95|2|Card|1200.00\n
96|3|Check|6500.00\n
97|2|Card|250.00\n
98|2|Card|500.00\n
99|2|Card|1500.00\n
100|2|Card|300.00\n
101|2|Card|900.00\n
102|2|Card|2000.00\n
103|3|Check|4800.00\n
104|3|Check|9800.00\n
105|3|Check|10000.00\n
106|3|Check|9518.12\n
107|3|Check|2400.00\n
108|3|Check|1600.00\n
