REVENUE_ID|PMT_ID|INVOICE_ID|REVENUE_VALUE
1|2|1|2656.23
2|2|2|800.00
3|3|3|10826.08
4|2|4|1000.00
5|3|5|12000.00
6|2|6|4000.00
7|3|7|6000.00
8|3|8|10000.00
9|3|9|14000.00
10|2|10|2976.88
11|1|11|81.19
12|3|12|17975.00
13|2|13|8500.00
14|2|14|2619.65
15|3|15|10283.75
16|2|16|3135.86
17|3|17|14500.00
18|3|18|8475.00
19|3|19|8417.50
20|2|20|750.00
21|2|21|4871.25
22|2|22|270.53
23|2|23|2706.25
24|2|24|1250.00
25|2|25|150.00
26|3|26|21358.78
27|3|27|7074.88
28|2|28|460.00
29|2|29|2000.00
30|2|30|4546.50
31|2|31|324.75
32|2|32|1461.38
33|2|33|300.00
34|2|34|1300.00
35|2|35|400.00
36|2|36|1017.55
37|3|37|13100.00
38|3|38|13950.00
39|3|39|15374.88
40|2|40|150.00
41|1|41|45.00
42|2|42|1250.00
43|3|43|20620.02
44|2|44|3859.11
45|2|45|1273.62
46|3|46|18383.92
47|2|47|108.25
48|2|48|227.39
49|3|49|7928.32
50|3|50|11035.00
51|2|51|3436.94
52|2|52|900.00
53|3|53|5845.50
54|2|54|7801.00
55|3|55|12850.00
56|2|56|866.00
57|3|57|18074.80
58|3|58|13210.00
59|3|59|30712.00
60|3|60|7036.25
61|2|61|500.00
62|2|62|541.25
63|2|63|1623.75
64|2|64|2165.00
65|2|65|4800.00
66|3|66|9800.00
67|3|67|13518.12
68|2|68|1190.75
69|2|69|194.85
70|2|70|1396.43
71|3|71|29961.00
72|2|72|140.00
73|3|73|11069.32
74|2|74|233.98
75|3|75|20361.83
76|3|76|12200.00
77|3|77|18730.00
78|2|78|1200.00
79|3|79|17320.00
80|3|80|16150.00
81|2|81|5770.75
82|3|82|15000.00
83|2|83|2381.50
84|3|84|15990.00
85|3|85|14392.00
86|2|86|129.90
87|2|87|5000.00
88|2|88|7248.50
89|3|89|20000.00
90|3|90|10825.00
91|2|91|669.60
92|2|92|163.40
93|3|93|12500.00
94|2|94|790.00
95|2|95|4138.25
96|2|96|3838.25
97|2|97|450.00
98|3|98|19750.00
99|2|99|1350.00
100|2|100|2000.00
