SERVICE_ORDER_ID|CUSTOMER_ID|DATE|ACTIVE_ID
1|1|1/2/2021|2
2|2|1/3/2021|2
3|3|1/4/2021|2
4|4|1/5/2021|2
5|5|11/5/2021|2
6|6|1/8/2021|2
7|7|1/10/2021|2
8|8|1/12/2021|2
9|9|1/15/2021|2
10|10|1/16/2021|2
11|11|1/18/2021|2
12|12|1/22/2021|2
13|13|1/24/2021|2
14|14|1/29/2021|2
15|15|1/30/2021|2
16|16|2/1/2021|2
17|17|2/2/2021|2
18|18|2/7/2021|2
19|19|2/8/2021|2
20|20|2/12/2021|2
21|21|2/15/2021|2
22|22|2/21/2021|2
23|23|2/22/2021|2
24|24|2/26/2021|2
25|25|2/27/2021|2
26|26|2/28/2021|2
27|27|3/1/2021|2
28|28|3/5/2021|2
29|29|3/6/2021|2
30|30|3/7/2021|2
31|31|3/8/2021|2
32|32|3/12/2021|2
33|33|3/13/2021|2
34|34|3/14/2021|2
35|35|3/15/2021|2
36|36|3/16/2021|2
37|37|3/19/2021|2
38|38|3/20/2021|2
39|39|3/21/2021|2
40|40|3/22/2021|2
41|41|3/26/2021|1
42|42|3/27/2021|1
43|43|3/28/2021|1
44|44|3/29/2021|1
45|45|4/2/2021|3
46|46|4/3/2021|3
47|47|4/5/2021|3
48|48|4/10/2021|1
49|49|4/11/2021|1
50|50|4/13/2021|1
51|51|4/16/2021|1
52|52|4/17/2021|1
53|53|4/18/2021|1
54|54|4/19/2021|1
55|55|4/20/2021|1
56|56|4/23/2021|1
57|57|4/28/2020|1
58|58|4/30/2020|1
59|59|5/1/2020|2
60|60|5/2/2020|2
61|61|5/5/2020|2
62|62|5/7/2020|2
63|63|5/8/2020|2
64|64|5/9/2020|2
65|65|5/10/2020|2
66|66|5/14/2020|2
67|67|5/15/2020|2
68|68|5/17/2020|2
69|69|5/23/2020|2
70|70|5/24/2020|2
71|71|6/4/2020|2
72|72|6/5/2020|2
73|73|6/6/2020|2
74|74|6/7/2020|2
75|75|6/11/2020|2
76|76|6/14/2020|2
77|77|6/19/2020|2
78|78|6/25/2020|2
79|79|6/26/2020|2
80|80|6/27/2020|2
81|81|6/28/2020|2
82|82|7/2/2020|2
83|83|7/3/2020|2
84|84|7/5/2020|2
85|85|7/6/2020|2
86|86|7/9/2020|2
87|87|7/10/2020|2
88|88|7/11/2020|2
89|89|7/12/2020|2
90|90|7/23/2020|2
91|91|7/26/2020|2
92|92|7/30/2020|2
93|93|7/31/2020|2
94|94|8/2/2020|2
95|95|8/8/2020|2
96|96|8/9/2020|2
97|97|8/13/2020|2
98|98|8/16/2020|2
99|99|8/21/2020|2
100|100|8/22/2020|2
