SERVICE_ID|ACTIVE_ID|ACTIVE
1|1|Inactive
2|1|Inactive
3|2|Active
4|2|Active
5|2|Active
6|2|Active
7|2|Active
8|2|Active
9|2|Active
10|2|Active
11|1|Inactive
12|1|Inactive
13|1|Inactive
14|1|Inactive
15|1|Inactive
16|1|Inactive
17|1|Inactive
18|1|Inactive
19|1|Inactive
20|2|Active
21|1|Inactive
22|1|Inactive
23|1|Inactive
24|1|Inactive
25|1|Inactive
26|1|Inactive
27|1|Inactive
28|1|Inactive
29|1|Inactive
30|1|Inactive
31|1|Inactive
32|1|Inactive
33|1|Inactive
34|1|Inactive
35|1|Inactive
36|1|Inactive
37|1|Inactive
38|1|Inactive
39|1|Inactive
40|1|Inactive
41|1|Inactive
42|1|Inactive
43|1|Inactive
44|1|Inactive
45|1|Inactive
46|1|Inactive
47|1|Inactive
48|1|Inactive
49|1|Inactive
50|1|Inactive
51|1|Inactive
52|1|Inactive
53|1|Inactive
54|1|Inactive
55|1|Inactive
56|1|Inactive
57|1|Inactive
58|1|Inactive
59|1|Inactive
60|1|Inactive
61|1|Inactive
62|1|Inactive
63|1|Inactive
64|1|Inactive
65|1|Inactive
66|1|Inactive
67|1|Inactive
68|1|Inactive
69|1|Inactive
70|1|Inactive
71|1|Inactive
72|1|Inactive
73|1|Inactive
74|1|Inactive
75|1|Inactive
76|1|Inactive
77|1|Inactive
78|1|Inactive
79|1|Inactive
80|1|Inactive
81|1|Inactive
82|1|Inactive
83|1|Inactive
84|1|Inactive
85|1|Inactive
86|1|Inactive
87|1|Inactive
88|1|Inactive
89|1|Inactive
90|1|Inactive
91|1|Inactive
92|1|Inactive
93|1|Inactive
94|1|Inactive
95|1|Inactive
96|1|Inactive
97|1|Inactive
98|1|Inactive
99|1|Inactive
100|1|Inactive
101|1|Inactive
102|1|Inactive
103|1|Inactive
104|1|Inactive
105|1|Inactive
106|1|Inactive
107|1|Inactive
108|1|Inactive
109|1|Inactive
