INVOICE_ID|CUSTOMER_ID|TOTAL_COST|AMT_OWED|INVOICE_DATE\n
1|1|2595.91|0|01/02/2018\n
2|2|800.00|0|01/03/2018\n
3|3|10001.00|825.08|01/04/2018\n
4|4|1000.00|0|01/05/2018\n
5|5|12000.00|0|01/05/2018\n
6|6|1000.00|0|01/05/2018\n
7|7|4000.00|0|01/05/2018\n
8|8|6000.00|0|01/05/2018\n
9|9|10000.00|0|01/05/2018\n
10|10|2750.00|0|01/08/2018\n
11|11|75.00|0|01/08/2018\n
12|12|17975.00|0|01/10/2018\n
13|13|8500.00|0|01/12/2019\n
14|14|2434.01|0|01/15/2018\n
15|15|9500.00|0|01/15/2018\n
16|16|2934.97|0|01/15/2018\n
17|17|14500.00|0|01/16/2018\n
18|18|8475.00|0|01/18/2018\n
19|19|7840.00|0|01/22/2018\n
20|20|750.00|0|01/24/2018\n
21|21|4500.00|0|01/29/2018
22|22|270.53|0|01/30/2018\n
23|23|2500.00|0|01/30/2018\n
24|24|1250.00|0|02/01/2018\n
25|25|150.00|0|02/01/2018\n
26|26|19670.00|0|02/01/2018\n
27|27|6650.00|0|02/01/2018\n
28|28|460.00|0|02/02/2018\n
29|29|2000.00|0|02/07/2018\n
30|30|4200.00|0|02/07/2018\n
31|31|300.00|0|02/08/2018\n
32|32|1350.00|0|02/12/2018\n
33|33|1300.00|0|02/21/2018\n
34|34|400.00|0|02/21/2018\n
35|35|940.00|0|02/21/2018\n
36|36|13100.00|0|02/22/2018\n
37|37|13950.00|0|02/22/2018\n
38|38|14290.00||02/26/2018\n
39|39|150.00|0|02/27/2018\n
40|40|0|0|02/28/2018\n
41|41|45.00|0|03/01/2018\n
42|42|1250.00||03/05/2018\n
43|43|20620.02|0|03/06/2018\n
44|44|3565.00|0|03/07/2018\n
45|45|1190.12||03/08/2018\n
46|46|17056.00|0|03/12/2018\n
47|47|100.00|0|03/13/2018\n
48|48|210.06|0|03/14/2018\n
49|49|7750.87|0|03/15/2018\n
50|50|0|0|03/16/2018\n
51|51|5400.00|0|03/21/2018\n
52|52|7240|0|03/22/2018\n
53|53|800.00|0|03/27/2018\n
54|54|16754.80|0|03/28/2018\n
55|55|13210.00|0|03/29/2018\n
56|56|30712.00|0|04/02/2018\n
57|57|500.00|0|04/03/2018\n
58|58|300.00|0|04/03/2018\n
59|59|4800.00|0|04/05/2018\n
60|60|10000.00|0|04/05/2018\n
61|61|13518.12|0|04/05/2018\n
62|62|1100.00|0|04/10/2018\n
63|63|180.00|0|04/11/2018\n
64|64|1290.00|0|04/13/2018\n
65|65|140.00|0|04/16/2018\n
66|66|10592.59|0|04/16/2018\n
67|67|218.30|0|04/16/2018\n
68|68|1300.00|0|04/18/2018\n
69|69|900|0|04/19/2018\n
70|70|16000.00|0|04/19/2018\n
71|71|0.00|0|04/19/2018\n
72|72|2200.00|0|04/28/2018\n
73|73|0.00|0|04/30/2018\n
74|74|15990.00|0|05/01/2018\n
75|75|13600.00|0|05/01/2018\n
76|76|5000.00|0|05/02/2018\n
77|77|10000.00|0|05/05/2018\n
78|78|630.00|0|05/07/2018\n
79|79|1100.00|0|05/08/2018\n
80|80|3800.00|0|05/14/2018\n
81|81|450.00|0|05/15/2018\n
82|82|500.00|0|05/17/2018\n
83|83|15990.00|0|05/17/2018\n
84|84|19750.00|0|05/23/2018\n
85|85|7450.00|0|06/04/2018\n
86|86|2150.00|0|06/05/2018\n
87|87|200.00|0|06/05/2018\n
88|88|4500.00||06/06/2018\n
89|89|13920.00|0|06/07/2018\n
90|90|12700.00|0|06/14/208\n
91|91|136.50|0|06/19/2018\n
92|92|5500.00|0|06/25/2018\n
93|93|160.00|0|06/27/2018\n
94|94|450.00|0|06/28/2018\n
95|95|3500.00|0|07/02/2018\n
96|96|600.00|0|07/02/2018\n
97|97|450.00|0|07/02/2018\n
98|98|550.00|0|07/06/2018\n
99|99|0.00|0|07/09/2018\n
100|100|3500.00|0|07/11/2018\n
