ORDER_ID|DATE_START|DATE_END|QUALITY
4878|1/2/2018|1/2/2018||\n
4879|1/3/2018|1/3/2018||\n
4880|1/4/2018|1/4/2018||\n
5143|1/5/2018|11/5/2018||\n
5147|1/5/2018|11/5/2018||\n
5154|1/5/2018|11/5/2018||\n
5155|1/5/2018|11/5/2018||\n
5159|1/5/2018|11/5/2018||\n
5163|1/5/2018|11/5/2018||\n
5167|1/5/2018|11/5/2018||\n
4881|1/8/2018|1/8/2018||\n
4882|1/8/2018|1/8/2018||\n
4883|1/10/2018|1/10/2018||\n
4884|1/12/2018|1/12/2018||\n
4885|1/15/2018|1/15/2018||\n
4886|1/15/2018|1/15/2018||\n
4887|1/15/2018|1/15/2018||\n
4888|1/16/2018|1/16/2018||\n
4889|1/16/2018|1/16/2018||\n
4890|1/16/2018|1/16/2018||\n
4891|1/18/2018|1/18/2018||\n
4892|1/22/2018|1/22/2018||\n
4894|1/24/2018|1/24/2018||\n
4895|1/29/2018|1/29/2018||\n
4896|1/30/2018|1/30/2018||\n
4897|1/30/2018|1/30/2018||\n
4898|2/1/2018|2/1/2018||\n
4899|2/1/2018|2/1/2018||\n
4900|2/1/2018|2/1/2018||\n
4901|2/1/2018|2/1/2018||\n
4902|2/1/2018|2/1/2018||\n
4903|2/2/2018|2/2/2018||\n
4904|2/6/2018|2/6/2018||\n
4905|2/7/2018|2/7/2018||\n
4906|2/7/2018|2/7/2018||\n
4907|2/8/2018|2/8/2018||\n
4908|2/9/2018|2/9/2018||\n
4909|2/12/2018|2/12/2018||\n
4911|2/15/2018|2/15/2018||\n
4912|2/19/2018|2/19/2018||\n
4913|2/19/2018|2/19/2018||\n
4914|2/19/2018|2/19/2018||\n
4915|2/19/2018|2/19/2018||\n
4917|2/20/2018|2/20/2018||\n
4918|2/21/2018|2/21/2018||\n
4919|2/21/2018|2/21/2018||\n
4920|2/21/2018|2/21/2018||\n
4921|2/22/2018|2/22/2018||\n
4922|2/22/2018|2/22/2018||\n
4924|2/26/2018|2/26/2018||\n
4925|2/27/2018|2/27/2018||\n
4926|2/28/2018|2/28/2018||\n
4927|2/28/2018|2/28/2018||\n
4928|2/28/2018|2/28/2018||\n
4929|2/28/2018|2/28/2018||\n
4930|3/1/2018|3/1/2018||\n
4931|3/1/2018|3/1/2018||\n
4932|3/5/2018|3/5/2018||\n
4933|3/6/2018|3/6/2018||\n
4934|3/6/2018|3/6/2018||\n
4935|3/6/2018|3/6/2018||\n
4936|3/7/2018|3/7/2018||\n
4937|3/8/2018|3/8/2018||\n
4938|3/12/2018|3/12/2018||\n
4939|3/12/2018|3/12/2018||\n
4940|3/13/2018|3/13/2018||\n
4941|3/14/2018|3/14/2018||\n
4942|3/15/2018|3/15/2018||\n
4943|3/15/2018|3/15/2018||\n
4944|3/16/2018|3/16/2018||\n
4945|3/19/2018|3/19/2018||\n
4946|3/20/2018|3/20/2018||\n
4947|3/20/2018|3/20/2018||\n
4948|3/21/2018|3/21/2018||\n
4949|3/22/2018|3/22/2018||\n
4950|3/22/2018|3/22/2018||\n
4951|3/26/2018|3/26/2018||\n
4952|3/27/2018|3/27/2018||\n
4953|3/27/2018|3/27/2018||\n
4954|3/28/2018|3/28/2018||\n
4955|3/29/2018|3/29/2018||\n
4956|4/2/2018|4/2/2018||\n
4957|4/2/2018|4/2/2018||\n
4958|4/2/2018|4/2/2018||\n
4959|4/3/2018|4/3/2018||\n
4960|4/3/2018|4/3/2018||\n
4961|4/3/2018|4/3/2018||\n
4962|4/5/2018|4/5/2018||\n
4963|4/5/2018|4/5/2018||\n
5145|4/5/2018|11/5/2018||\n
5151|4/5/2018|11/5/2018||\n
5156|4/5/2018|11/5/2018||\n
5165|4/5/2018|11/5/2018||\n
4964|4/10/2018|4/10/2018||\n
4965|4/11/2018|4/11/2018||\n
4966|4/13/2018|4/13/2018||\n
4967|4/13/2018|4/13/2018||\n
4968|4/16/2018|4/16/2018||\n
4969|4/16/2018|4/16/2018||\n
4970|4/16/2018|4/16/2018||\n
4971|4/16/2018|4/16/2018||\n
4972|4/17/2018|4/17/2018||\n
4973|4/17/2018|4/17/2018||\n
4974|4/18/2018|4/18/2018||\n
4975|4/19/2018|4/19/2018||\n
4976|4/19/2018|4/19/2018||\n
4977|4/19/2018|4/19/2018||\n
4978|4/19/2018|4/19/2018||\n
4979|4/19/2018|4/19/2018||\n
4980|4/19/2018|4/19/2018||\n
4981|4/20/2018|4/20/2018||\n
4982|4/23/2018|4/23/2018||\n
4983|4/23/2018|4/23/2018||\n
4984|4/28/2018|4/28/2018||\n
4985|4/30/2018|4/30/2018||\n
4986|5/1/2018|5/1/2018||\n
4987|5/1/2018|5/1/2018||\n
4988|5/2/2018|5/2/2018||\n
4989|5/2/2018|5/2/2018||\n
4990|5/2/2018|5/2/2018||\n
4991|5/2/2018|5/2/2018||\n
4992|5/2/2018|5/2/2018||\n
5162|5/5/2018|11/5/2018||\n
5164|5/5/2018|11/5/2018||\n
5166|5/5/2018|11/5/2018||\n
4993|5/7/2018|5/7/2018||\n
4994|5/7/2018|5/7/2018||\n
4995|5/8/2018|5/8/2018||\n
4996|5/9/2018|5/9/2018||\n
4997|5/9/2018|5/9/2018||\n
4998|5/10/2018|5/10/2018||\n
4999|5/14/2018|5/14/2018||\n
5000|5/14/2018|5/14/2018||\n
5001|5/15/2018|5/15/2018||\n
5003|5/17/2018|5/17/2018||\n
5004|5/17/2018|5/17/2018||\n
5005|5/17/2018|5/17/2018||\n
5006|5/23/2018|5/23/2018||\n
5007|5/23/2018|5/23/2018||\n
