1=Cash 2=Card 3=Check
PMT_NUMBER|PMT_ID|PMT_TYPE|AMT_PAID\n
1|3|Check|2656.23\n
2|2|Card|800\n
3|3|Check|10001\n
4|2|1000\n
5|3|Check|12000\n
6|2|Card|1000\n
7|3|Check|10000\n
8|3|Check|6000\n
9|3|Check|10000\n
10|2|Card|2976.88\n
11|1|Cash|81.19\n
12|3|Check|17975\n
13|3|Check|8500\n
14|2|Card|2619.65\n
15|3|Check|10283.75\n
16|3|Check|3135.86\n
17|3|Check|14500\n
18|3|Check|8475\n
19|3|Check|8417.50\n
20|2|Card|750\n
21|3|Check|4871.25\n
22|2|Card|270.53\n
23|2|Card|2706.25\n
24|2|Card|1250\n
25|1|Cash|150\n
26|3|Check|21358.78\n
27|3|Check|7074.88\n
28|2|Card|460\n
29|2|Card|2000\n
30|3|Check|4546.50\n
31|2|Card|324.75\n
31|2|Card|1461.38\n
25|2|Card|1300\n
26|2|Card|400\n
27|3|Check|1017.50\n
28|3|Check|13100\n
29|3|Check|13950\n
30|3|Check|15374.88\n
31|1|Cash|150\n
32|1|Cash|0\n
33|1|Cash|45\n
34|2|Card|1250\n
35|3|Check|20620.02\n
36|3|Check|3859.11\n
37|2|Card|1273.62\n
38|3|Check|18383.92\n
39|1|Cash|108.25\n
40|2|Card|227.39\n
41|3|Check|7928.32\n
42|1|Cash|0\n
43|1|Cash|80\n
44|3|Check|6800\n
45|2|Card|1800\n
46|2|Card|325\n
47|2|Card|750\n
48|2|Card|1360\n
49|3|Check|3175\n
50|2|Card|900\n
51|3|Check|5400\n
52|3|Check|8000\n
53|2|Card|960\n
54|2|Card|1850\n
55|2|Card|1750\n
56|3|Check|4496\n
57|3|Check|6300\n
58|2|Card|350\n
59|2|Card|500\n
60|2|Card|90\n
61|3|Check|7240\n
62|3|Check|10300\n
63|2|Card|750\n
64|2|Card|1800\n
65|3|Check|6800\n
66|2|Card|1800\n
67|2|Card|325\n
68|2|Card|750\n
69|2|Card|1360\n
70|2|Card|800\n
71|3|Check|6290\n
72|3|Check|4500\n
73|2|Card|1350\n
74|3|Check|2500\n
75|2|Card|1360\n
76|3|Check|10500\n
77|2|Card|750\n
78|2|Card|750\n
79|3|Check|12600\n
80|2|Card|1850\n
81|2|Card|750\n
82|3|Check|3200\n
83|3|Check|3000\n
84|3|Check|4600\n
85|2|Card|200\n
86|3|Check|2200\n
87|2|Card|1200\n
88|3|Check|6500\n
89|2|Card|250\n
90|2|Card|500\n
91|2|Card|1500\n
92|2|Card|300\n
93|2|Card|900\n
94|2|Card|2000\n
95|3|Check|4800\n
96|3|Check|9800\n
97|3|Check|10000\n
98|3|Check|9518.12\n
99|3|Check|2400\n
100|3|Check|1600\n

